id_vaga,tool
29923719,SPARK
29923719,NOSQL
29923719,MYSQL
29923719,DATABRICKS
29923719,PYTHON
29923719,SNOWFLAKE
30528108,AZURE
30528108,SQL
30528108,SCALA
30528108,CASSANDRA
30528108,SPARK
30528108,NOSQL
30528108,DATABRICKS
30528108,PYTHON
30528108,KAFKA
29777811,EXCEL
29777811,TABLEAU
30497249,EXCEL
29696868,GITHUB
29696868,SQL
29696868,REDSHIFT
29696868,PYTHON
29940588,POWERBI
29940588,PL/SQL
29940588,REST
29940588,SOAP
29940588,METABASE
30437367,EXCEL
30437367,DASH
30395237,QLIKVIEW
30395237,SQL
30395237,R
30395237,TABLEAU
30395237,PYTHON
30318933,SQL
30318933,GIT
30318933,R
30318933,TABLEAU
30318933,PYTHON
29910801,SQL
29910801,LINUX
29910801,LEARNING
29910801,TABLEAU
29910801,PYTHON
29910801,AIRFLOW
30614713,EXCEL
30614713,SQL
30614713,PYTHON
30131991,SQL
30131991,GCP
30131991,NOSQL
30131991,PYTHON
30131991,AIRFLOW
30068580,EXCEL
30120259,AWS
30120259,SQL
30120259,R
30120259,TABLEAU
30120259,PYTHON
30533070,AZURE
30533070,AWS
30533070,SCALA
30533070,QLIK
30533070,GCP
30533070,JAVA
30533070,TABLEAU
30533070,DATABRICKS
30533070,KAFKA
30533070,SNOWFLAKE
30599813,EXCEL
30599813,SQL
30672086,SQL
30672086,IA
30672086,R
30672086,LEARNING
30672086,PYTHON
30187193,AZURE
30187193,EXCEL
30187193,SQL
30187193,PYTHON
30442916,AZURE
30442916,SQL
30442916,TABLEAU
30442916,PYTHON
30523079,SQL
30053866,SQL
30053866,SCIKIT-LEARN
30053866,PYSPARK
30053866,SPARK
30053866,LEARNING
30053866,PYTHON
30675339,AZURE
30675339,SQL
30675339,DATABRICKS
30675339,PYTHON
30671943,SQL
30671943,IA
30541752,AWS
30541752,POWERBI
30541752,SQL
30541752,QLIKSENSE
30541752,EXCEL
30541752,REDSHIFT
30541752,PYTHON
30515115,EXCEL
30341094,AWS
30341094,SQL
30341094,QLIK
30341094,REDSHIFT
30341094,PYTHON
30002711,LEARNING
30002711,DEEP
30002711,PYTHON
30002711,GIT
29934591,EXCEL
29934591,SQL
29934591,PYTHON
29934591,R
29992652,OPENCV
29992652,PYTHON
29811226,R
29811226,PYTHON
30438539,EXCEL
29969524,SQL
29969524,TABLEAU
29969524,PYTHON
29819613,EXCEL
29819613,R
29819613,PYTHON
30016080,EXCEL
30016080,SQL
30016080,PYTHON
30252819,BIGQUERY
30252819,LOOKER
30252819,GCP
30252819,PYTHON
30635451,EXCEL
30635451,SQL
30616983,EXCEL
28159056,SQL
28159056,MYSQL
30523641,AZURE
30523641,AWS
30523641,SQL
30523641,GCP
30523641,LEARNING
30523641,PYTHON
